Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
梧桐数字科技有限公司,0,circle,10.15787,2022,PRC,DT CPU,-0.2796739840160417,-0.21920651757648482
武汉艾德蒙科技股份有限公司,0,circle,10.886012,2022,PRC,DT CPU,-0.0342302438196884,-0.1507485423384512
深圳市宝德科技股份有限公司1,0,circle,12.326984,2022,PRC,DT CPU,0.0486218692485306,0.09018486581763346
深圳市慧聪电脑网络技术有限公司,0,circle,10.269153,2022,PRC,DT CPU,-0.10241844266419418,0.2953643972474994
INGRAM MICRO INTL TRADING LTD,1,star,11.3089905,2022,PRC,DT CPU,-0.04237007887476754,-0.391247267368911
Ics-北京碧洪科技有限公司,1,circle,10.174153,2022,PRC,DT CPU,-0.27626033966970187,-0.58585168553158
"Shenyang Tiger Trade Co., Ltd",0,circle,12.134722,2022,PRC,DT CPU,0.24913791683654848,-0.3729823229920994
上海东业信息技术有限公司,0,circle,10.049128,2022,PRC,DT CPU,0.27004474131843825,-0.46986072746474045
上海东融贸易有限公司,1,circle,10.041072,2022,PRC,DT CPU,-0.2229717141159048,-0.6228471677186685
上海余新计算机科技有限公司,0,circle,10.0852995,2022,PRC,DT CPU,0.2327971952195805,-0.4848631112799708
上海英迈信息技术服务有限公司,1,circle,10.046993,2022,PRC,DT CPU,-0.1747326662638577,-0.6521211458029033
北京云存科技有限公司,1,circle,10.11545,2022,PRC,DT CPU,-0.1225292176778751,-0.6687317038830222
北京商润汇智科技有限公司,1,circle,10.493139,2022,PRC,DT CPU,-0.06848226607819796,-0.6814315869472076
北京英红万联科技有限公司,0,circle,12.43326,2022,PRC,DT CPU,0.27182988314297685,-0.4124456858689215
南京广得鸿电子科技有限公司,1,circle,11.838603,2022,PRC,DT CPU,0.09450626828933999,-0.44822315353612935
哈尔滨利华网络开发有限公司,0,circle,10.975125,2022,PRC,DT CPU,0.23109841788663887,-0.43383146397363825
广西南宁昂特电子有限公司,1,circle,10.0646305,2022,PRC,DT CPU,-0.011288493848572292,-0.6885152886343421
济南六通电子科技有限公司,1,circle,12.628208,2022,PRC,DT CPU,0.09984185839187706,-0.41481981953355035
陕西瑞力电子科技有限公司,1,circle,10.273183,2022,PRC,DT CPU,0.0497439667980542,-0.6902137916654494
Jiangsu Sunnycloud Information,0,star,11.33023,2022,PRC,DT CPU,-0.19510754085330395,-0.38489192171416126
南京都市驼铃信息系统工程有限公司,0,circle,14.068113,2022,PRC,DT CPU,-0.5283517046447812,-0.4844855586021383
南通安科电子科技有限公司_designer,0,circle,10.04325,2022,PRC,DT CPU,-0.4832674943396129,-0.5316535190101126
